question_id,topk_mass,neg_entropy,neg_logprob_var,is_correct
gsm8k_25,0.9973707509286753,-0.2541122540963689,-10.918594004108677,True
gsm8k_25,0.9965712451519171,-0.2897190639506018,-10.248431270719339,True
gsm8k_26,0.9994222053162707,-0.1561310120378578,-10.945319203862015,True
gsm8k_26,0.9994382860618747,-0.11140336397091184,-9.810572961160569,True
gsm8k_26,0.9991257188519618,-0.08715667718998873,-8.810941956645333,False
gsm8k_26,0.9992667477361398,-0.10666910576879174,-10.786783972012326,True
gsm8k_26,0.9987245911608081,-0.1541703170331732,-11.914745517024414,True
gsm8k_26,0.9991897307884086,-0.11620639431479371,-10.553945105147427,True
gsm8k_26,0.9991454557686996,-0.18068744634372536,-11.56086506141009,True
gsm8k_27,0.9976478775075642,-0.25405296129106847,-10.299731474317447,False
gsm8k_27,0.9981658574357197,-0.28079340109172896,-11.272331146952991,False
gsm8k_27,0.9915679056800915,-0.3678163477807264,-9.956634118870733,False
gsm8k_27,0.996581953612615,-0.3290172061207127,-10.467387129821327,False
gsm8k_27,0.9969964178469661,-0.26092215728422957,-10.891135032461701,False
gsm8k_27,0.9954656151735738,-0.3439498767653341,-11.382740277829676,False
gsm8k_27,0.9965040143841499,-0.25683596376780443,-11.845115480801189,False
gsm8k_28,0.9828316718246383,-0.46302376974122705,-10.581785563664937,True
gsm8k_28,0.9928262024771424,-0.32694962736092287,-8.374953244480997,False
gsm8k_28,0.9923203296813382,-0.317297203372387,-7.514657846388616,False
gsm8k_28,0.9926867720327945,-0.3736797716642448,-10.020174164201187,True
gsm8k_28,0.9767522769790491,-0.4600971027691644,-6.8571074466632265,True
gsm8k_28,0.9921997454194025,-0.3336219892181539,-9.456613450690604,True
gsm8k_28,0.9917185050614196,-0.3350167723376068,-11.176181754607496,False
gsm8k_29,0.9960560689093843,-0.3778500544005154,-7.865890842831611,True
