condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
soft_weighting,5,0.3,mix,0.7222222222222222,1.0,0.0
hard_only,5,0.3,mix,0.7444444444444445,0.8822222222222222,0.5
full_system,5,0.3,mix,0.7333333333333333,0.8822222222222222,0.5
baseline,5,0.45,F1,0.5222222222222223,1.0,0.0
soft_weighting,5,0.45,F1,0.7111111111111111,1.0,0.0
hard_only,5,0.45,F1,0.5888888888888889,0.8266666666666668,0.5666666666666667
full_system,5,0.45,F1,0.6777777777777778,0.8266666666666668,0.5666666666666667
baseline,5,0.45,F2,0.5222222222222223,1.0,0.0
soft_weighting,5,0.45,F2,0.6444444444444445,1.0,0.0
hard_only,5,0.45,F2,0.4111111111111111,0.9311111111111111,0.34444444444444444
full_system,5,0.45,F2,0.5666666666666667,0.9311111111111111,0.34444444444444444
baseline,5,0.45,F3,0.5222222222222223,1.0,0.0
soft_weighting,5,0.45,F3,0.7111111111111111,1.0,0.0
hard_only,5,0.45,F3,0.5888888888888889,0.8266666666666668,0.5666666666666667
full_system,5,0.45,F3,0.6888888888888889,0.8266666666666668,0.5666666666666667
baseline,5,0.45,mix,0.7222222222222222,1.0,0.0
soft_weighting,5,0.45,mix,0.7111111111111111,1.0,0.0
hard_only,5,0.45,mix,0.7444444444444445,0.8733333333333333,0.4666666666666667
full_system,5,0.45,mix,0.7111111111111111,0.8733333333333333,0.4666666666666667
baseline,7,0.0,F1,0.7555555555555555,1.0,0.0
soft_weighting,7,0.0,F1,0.7222222222222222,1.0,0.0
hard_only,7,0.0,F1,0.7555555555555555,0.9793650793650793,0.5111111111111111
full_system,7,0.0,F1,0.7111111111111111,0.9793650793650793,0.5111111111111111
baseline,7,0.0,F2,0.7555555555555555,1.0,0.0
soft_weighting,7,0.0,F2,0.7222222222222222,1.0,0.0
hard_only,7,0.0,F2,0.7555555555555555,0.9793650793650793,0.5111111111111111
full_system,7,0.0,F2,0.7111111111111111,0.9793650793650793,0.5111111111111111
baseline,7,0.0,F3,0.7555555555555555,1.0,0.0
soft_weighting,7,0.0,F3,0.7222222222222222,1.0,0.0
hard_only,7,0.0,F3,0.7555555555555555,0.9793650793650793,0.5111111111111111
full_system,7,0.0,F3,0.7111111111111111,0.9793650793650793,0.5111111111111111
baseline,7,0.0,mix,0.7555555555555555,1.0,0.0
soft_weighting,7,0.0,mix,0.7222222222222222,1.0,0.0
hard_only,7,0.0,mix,0.7555555555555555,0.9793650793650793,0.5111111111111111
full_system,7,0.0,mix,0.7111111111111111,0.9793650793650793,0.5111111111111111
baseline,7,0.15,F1,0.7777777777777778,1.0,0.0
soft_weighting,7,0.15,F1,0.7333333333333333,1.0,0.0
hard_only,7,0.15,F1,0.7777777777777778,0.9206349206349205,0.5222222222222223
full_system,7,0.15,F1,0.7333333333333333,0.9206349206349205,0.5222222222222223
baseline,7,0.15,F2,0.7777777777777778,1.0,0.0
soft_weighting,7,0.15,F2,0.7333333333333333,1.0,0.0
hard_only,7,0.15,F2,0.7777777777777778,0.9825396825396826,0.5
full_system,7,0.15,F2,0.7111111111111111,0.9825396825396826,0.5
baseline,7,0.15,F3,0.7777777777777778,1.0,0.0
soft_weighting,7,0.15,F3,0.7333333333333333,1.0,0.0
hard_only,7,0.15,F3,0.7777777777777778,0.9206349206349205,0.5222222222222223
full_system,7,0.15,F3,0.7111111111111111,0.9206349206349205,0.5222222222222223
baseline,7,0.15,mix,0.7777777777777778,1.0,0.0
soft_weighting,7,0.15,mix,0.7333333333333333,1.0,0.0
hard_only,7,0.15,mix,0.7777777777777778,0.9206349206349205,0.5222222222222223
full_system,7,0.15,mix,0.7333333333333333,0.9206349206349205,0.5222222222222223
baseline,7,0.3,F1,0.7111111111111111,1.0,0.0
soft_weighting,7,0.3,F1,0.7333333333333333,1.0,0.0
hard_only,7,0.3,F1,0.7444444444444445,0.8825396825396825,0.5888888888888889
full_system,7,0.3,F1,0.7444444444444445,0.8825396825396825,0.5888888888888889
baseline,7,0.3,F2,0.7111111111111111,1.0,0.0
soft_weighting,7,0.3,F2,0.7555555555555555,1.0,0.0
hard_only,7,0.3,F2,0.7111111111111111,0.9825396825396826,0.4888888888888889
full_system,7,0.3,F2,0.7333333333333333,0.9825396825396826,0.4888888888888889
baseline,7,0.3,F3,0.7111111111111111,1.0,0.0
soft_weighting,7,0.3,F3,0.7333333333333333,1.0,0.0
hard_only,7,0.3,F3,0.7444444444444445,0.8825396825396825,0.5888888888888889
full_system,7,0.3,F3,0.7222222222222222,0.8825396825396825,0.5888888888888889
baseline,7,0.3,mix,0.7111111111111111,1.0,0.0
soft_weighting,7,0.3,mix,0.7333333333333333,1.0,0.0
