condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,7,0.15,F1,0.6777777777777778,1.0,0.0
soft_weighting,7,0.15,F1,0.6666666666666666,1.0,0.0
hard_only,7,0.15,F1,0.6777777777777778,0.9206349206349205,0.4888888888888889
full_system,7,0.15,F1,0.6666666666666666,0.9206349206349205,0.4888888888888889
baseline,7,0.15,F2,0.6777777777777778,1.0,0.0
soft_weighting,7,0.15,F2,0.6666666666666666,1.0,0.0
hard_only,7,0.15,F2,0.6777777777777778,0.9873015873015873,0.4666666666666667
full_system,7,0.15,F2,0.6666666666666666,0.9873015873015873,0.4666666666666667
baseline,7,0.15,F3,0.6777777777777778,1.0,0.0
soft_weighting,7,0.15,F3,0.6666666666666666,1.0,0.0
hard_only,7,0.15,F3,0.6777777777777778,0.9206349206349205,0.4888888888888889
full_system,7,0.15,F3,0.6666666666666666,0.9206349206349205,0.4888888888888889
baseline,7,0.15,mix,0.6777777777777778,1.0,0.0
soft_weighting,7,0.15,mix,0.6666666666666666,1.0,0.0
hard_only,7,0.15,mix,0.6777777777777778,0.9206349206349205,0.4888888888888889
full_system,7,0.15,mix,0.6666666666666666,0.9206349206349205,0.4888888888888889
baseline,7,0.3,F1,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,F1,0.6555555555555556,1.0,0.0
hard_only,7,0.3,F1,0.6888888888888889,0.8634920634920635,0.5222222222222223
full_system,7,0.3,F1,0.6555555555555556,0.8634920634920635,0.5222222222222223
baseline,7,0.3,F2,0.6777777777777778,1.0,0.0
soft_weighting,7,0.3,F2,0.6555555555555556,1.0,0.0
hard_only,7,0.3,F2,0.6777777777777778,0.9809523809523809,0.43333333333333335
full_system,7,0.3,F2,0.6555555555555556,0.9809523809523809,0.43333333333333335
baseline,7,0.3,F3,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,F3,0.6555555555555556,1.0,0.0
hard_only,7,0.3,F3,0.6888888888888889,0.8634920634920635,0.5222222222222223
full_system,7,0.3,F3,0.6555555555555556,0.8634920634920635,0.5222222222222223
baseline,7,0.3,mix,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,mix,0.6555555555555556,1.0,0.0
hard_only,7,0.3,mix,0.6888888888888889,0.8634920634920635,0.5222222222222223
full_system,7,0.3,mix,0.6555555555555556,0.8634920634920635,0.5222222222222223
baseline,7,0.45,F1,0.6,1.0,0.0
soft_weighting,7,0.45,F1,0.6666666666666666,1.0,0.0
hard_only,7,0.45,F1,0.6,1.0,1.0
full_system,7,0.45,F1,0.6666666666666666,1.0,1.0
baseline,7,0.45,F2,0.6,1.0,0.0
soft_weighting,7,0.45,F2,0.6666666666666666,1.0,0.0
hard_only,7,0.45,F2,0.5333333333333333,0.9793650793650793,0.4222222222222222
full_system,7,0.45,F2,0.6,0.9793650793650793,0.4222222222222222
baseline,7,0.45,F3,0.6,1.0,0.0
soft_weighting,7,0.45,F3,0.6666666666666666,1.0,0.0
hard_only,7,0.45,F3,0.6,1.0,1.0
full_system,7,0.45,F3,0.6555555555555556,1.0,1.0
baseline,7,0.45,mix,0.6444444444444445,1.0,0.0
soft_weighting,7,0.45,mix,0.6666666666666666,1.0,0.0
hard_only,7,0.45,mix,0.6777777777777778,0.8634920634920635,0.5222222222222223
full_system,7,0.45,mix,0.6666666666666666,0.8634920634920635,0.5222222222222223
